state,STATE,OCC_TITLE,A_MEAN
AL,Alabama,Accounting / Finance,Accountants and Auditors,65960
AK,Alaska,Accounting / Finance,Accountants and Auditors,78480
AZ,Arizona,Accounting / Finance,Accountants and Auditors,64440
AR,Arkansas,Accounting / Finance,Accountants and Auditors,62160
CA,California,Accounting / Finance,Accountants and Auditors,78090
CO,Colorado,Accounting / Finance,Accountants and Auditors,74020
CT,Connecticut,Accounting / Finance,Accountants and Auditors,77020
DE,Delaware,Accounting / Finance,Accountants and Auditors,74280
DC,District of Columbia,Accounting / Finance,Accountants and Auditors,90220
FL,Florida,Accounting / Finance,Accountants and Auditors,68060
GA,Georgia,Accounting / Finance,Accountants and Auditors,76580
HI,Hawaii,Accounting / Finance,Accountants and Auditors,59810
ID,Idaho,Accounting / Finance,Accountants and Auditors,68070
IL,Illinois,Accounting / Finance,Accountants and Auditors,73390
IN,Indiana,Accounting / Finance,Accountants and Auditors,65890
IA,Iowa,Accounting / Finance,Accountants and Auditors,62420
KS,Kansas,Accounting / Finance,Accountants and Auditors,64590
KY,Kentucky,Accounting / Finance,Accountants and Auditors,61970
LA,Louisiana,Accounting / Finance,Accountants and Auditors,62990
ME,Maine,Accounting / Finance,Accountants and Auditors,61530
MD,Maryland,Accounting / Finance,Accountants and Auditors,80360
MA,Massachusetts,Accounting / Finance,Accountants and Auditors,80030
MI,Michigan,Accounting / Finance,Accountants and Auditors,68460
MN,Minnesota,Accounting / Finance,Accountants and Auditors,68660
MS,Mississippi,Accounting / Finance,Accountants and Auditors,56030
MO,Missouri,Accounting / Finance,Accountants and Auditors,69160
MT,Montana,Accounting / Finance,Accountants and Auditors,61100
NE,Nebraska,Accounting / Finance,Accountants and Auditors,65820
NV,Nevada,Accounting / Finance,Accountants and Auditors,63260
NH,New Hampshire,Accounting / Finance,Accountants and Auditors,68250
NJ,New Jersey,Accounting / Finance,Accountants and Auditors,84160
NM,New Mexico,Accounting / Finance,Accountants and Auditors,61880
NY,New York,Accounting / Finance,Accountants and Auditors,89850
NC,North Carolina,Accounting / Finance,Accountants and Auditors,71200
ND,North Dakota,Accounting / Finance,Accountants and Auditors,56230
OH,Ohio,Accounting / Finance,Accountants and Auditors,68360
OK,Oklahoma,Accounting / Finance,Accountants and Auditors,63720
OR,Oregon,Accounting / Finance,Accountants and Auditors,65820
PA,Pennsylvania,Accounting / Finance,Accountants and Auditors,70120
RI,Rhode Island,Accounting / Finance,Accountants and Auditors,77180
SC,South Carolina,Accounting / Finance,Accountants and Auditors,59240
SD,South Dakota,Accounting / Finance,Accountants and Auditors,60000
TN,Tennessee,Accounting / Finance,Accountants and Auditors,65630
TX,Texas,Accounting / Finance,Accountants and Auditors,75210
UT,Utah,Accounting / Finance,Accountants and Auditors,68780
VT,Vermont,Accounting / Finance,Accountants and Auditors,70420
VA,Virginia,Accounting / Finance,Accountants and Auditors,78640
WA,Washington,Accounting / Finance,Accountants and Auditors,72950
WV,West Virginia,Accounting / Finance,Accountants and Auditors,59520
WI,Wisconsin,Accounting / Finance,Accountants and Auditors,67100
